"Indicator type","Indicator","Description"
"IPv4","172.104.79.222",""
"CIDR","139.162.156.0/24",""
"CIDR","167.179.91.0/24",""
"CIDR","172.104.129.0/24",""
"CIDR","172.104.236.0/24",""
"CIDR","172.104.79.0/24",""
"CIDR","207.148.24.0/24",""
"CIDR","45.32.116.0/24",""
"CIDR","45.33.77.0/24",""
"CIDR","45.76.215.0/24",""
"FileHash-MD5","3a5a7ced739923f929234beefcef82b5","MD5 of 05537c1c4e29db76a24320fb7cb80b189860389cdb16a9dbeb0c8d30d9b37006
MD5 of 05537c1c4e29db76a24320fb7cb80b189860389cdb16a9dbeb0c8d30d9b37006"
"FileHash-SHA1","9728cd06b3e5729aff1a146075d524c34c5d51df","SHA1 of 05537c1c4e29db76a24320fb7cb80b189860389cdb16a9dbeb0c8d30d9b37006
SHA1 of 05537c1c4e29db76a24320fb7cb80b189860389cdb16a9dbeb0c8d30d9b37006"
"FileHash-SHA256","05537c1c4e29db76a24320fb7cb80b189860389cdb16a9dbeb0c8d30d9b37006",""
"FileHash-SHA256","16294086be1cc853f75e864a405f31e2da621cb9d6a59f2a71a2fca4e268b6c2",""
"FileHash-SHA256","3a259ad7e5c19a782f7736b5ac50aac4ba4d03b921ffc6a3ff6a48d720f02012",""
"FileHash-SHA256","4480b58979cc913c27673b2f681335deb1627e9ba95073a941f4cd6d6bcd6181",""
"FileHash-SHA256","4668561d60daeb7a4a50a9c3e210a4343f92cadbf2d52caab5684440da6bf562",""
"FileHash-SHA256","65143ccb5a955a22d6004033d073ecb49eba9227237a46929495246e36eff8e1",""
"FileHash-SHA256","6d3759b3621f3e4791ebcd28e6ea60ce7e64468df24cf6fddf8efb544ab5aec0",""
"FileHash-SHA256","78c579319734a81c0e6d08f1b9ac59366229f1256a0b0d5661763f6931c3b63c",""
"FileHash-SHA256","917495c2fd919d4d4baa2f8a3791bcfd58d605ee457a81feb52bc65eb706fd62",""
"FileHash-SHA256","97d4c9b5750d614face73d11ba8532e53594332af53f4c07c1543195225b76eb",""
"FileHash-SHA256","9973edfef797db84cd17300b53a7a35d1207d166af9752b3f35c72b4df9a98bc",""
"FileHash-SHA256","a388e2ac588be6ab73d7e7bbb61d83a5e3a1f80bf6a326f42b6b5095a2f35df3",""
"FileHash-SHA256","ad9fef1b86b57a504cfa1cfbda2e2ac509750035bff54e1ca06f7ff311d94689",""
"FileHash-SHA256","b06f52e2179ec9334f8a3fe915d263180e538f7a2a5cb6ad8d60f045789123b6",""
"FileHash-SHA256","bf5806cebc5d1a042f87abadf686fb623613ed33591df1a944b5e7879fb189c8",""
"FileHash-SHA256","c5ddd616e127df91418aeaa595ac7cd266ffc99b2683332e0f112043796ede1d",""
"FileHash-SHA256","cdf230a7e05c725a98ce95ad8f3e2155082d5a6b1e839c2b2653c3754f06c2e7",""
"FileHash-SHA256","e9c0f00c34dcd28fc3cc53c9496bff863b81b06723145e106ab7016c66581f72",""
"IPv4","139.162.156.144","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","139.162.156.129","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","139.162.156.192","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","139.162.156.221","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","139.162.156.41","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","139.162.156.42","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","139.162.156.92","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","167.179.91.1","CC=JP ASN=AS20473 AS-CHOOPA"
"IPv4","167.179.91.190","CC=JP ASN=AS20473 AS-CHOOPA"
"IPv4","167.179.91.147","CC=JP ASN=AS20473 AS-CHOOPA"
"IPv4","167.179.91.30","CC=JP ASN=AS20473 AS-CHOOPA"
"IPv4","172.104.129.220","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.129.8","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.129.135","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.129.239","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.129.250","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.129.92","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.129.146","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.129.21","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.129.245","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.129.25","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.129.78","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.236.110","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.236.158","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.236.231","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.236.29","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.236.123","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.236.131","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.236.140","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.236.148","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.236.171","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.236.217","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.236.227","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.236.228","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.236.42","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.236.68","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.236.93","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.236.97","CC=DE ASN=AS63949 Linode, LLC"
"IPv4","172.104.79.82","CC=JP ASN=AS63949 Linode, LLC"
"IPv4","172.104.79.113","CC=JP ASN=AS63949 Linode, LLC"
"IPv4","172.104.79.38","CC=JP ASN=AS63949 Linode, LLC"
"IPv4","172.104.79.39","CC=JP ASN=AS63949 Linode, LLC"
"IPv4","172.104.79.54","CC=JP ASN=AS63949 Linode, LLC"
"IPv4","172.104.79.96","CC=JP ASN=AS63949 Linode, LLC"
"IPv4","172.104.79.152","CC=JP ASN=AS63949 Linode, LLC"
"IPv4","172.104.79.178","CC=JP ASN=AS63949 Linode, LLC"
"IPv4","172.104.79.83","CC=JP ASN=AS63949 Linode, LLC"
"IPv4","207.148.24.221","CC=US ASN=AS20473 AS-CHOOPA"
"IPv4","207.148.24.154","CC=US ASN=AS20473 AS-CHOOPA"
"IPv4","207.148.24.201","CC=US ASN=AS20473 AS-CHOOPA"
"IPv4","207.148.24.241","CC=US ASN=AS20473 AS-CHOOPA"
"IPv4","207.148.24.55","CC=US ASN=AS20473 AS-CHOOPA"
"IPv4","207.148.24.98","CC=US ASN=AS20473 AS-CHOOPA"
"IPv4","45.32.116.114","CC=SG ASN=AS20473 AS-CHOOPA"
"IPv4","45.32.116.139","CC=SG ASN=AS20473 AS-CHOOPA"
"IPv4","45.32.116.150","CC=SG ASN=AS20473 AS-CHOOPA"
"IPv4","45.32.116.179","CC=SG ASN=AS20473 AS-CHOOPA"
"IPv4","45.32.116.237","CC=SG ASN=AS20473 AS-CHOOPA"
"IPv4","45.32.116.42","CC=SG ASN=AS20473 AS-CHOOPA"
"IPv4","45.32.116.75","CC=SG ASN=AS20473 AS-CHOOPA"
"IPv4","45.32.116.76","CC=SG ASN=AS20473 AS-CHOOPA"
"IPv4","45.32.116.88","CC=SG ASN=AS20473 AS-CHOOPA"
"IPv4","45.32.116.243","CC=SG ASN=AS20473 AS-CHOOPA"
"IPv4","45.32.116.97","CC=SG ASN=AS20473 AS-CHOOPA"
"IPv4","45.33.77.14","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.100","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.122","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.151","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.152","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.155","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.173","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.189","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.210","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.222","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.225","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.26","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.6","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.73","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.77","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.78","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.107","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.109","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.116","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.132","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.135","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.179","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.186","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.191","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.196","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.200","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.207","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.208","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.213","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.23","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.232","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.236","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.238","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.42","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.51","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.59","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.67","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.69","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.8","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.80","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.84","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.89","CC=US ASN=AS63949 Linode, LLC"
"IPv4","45.33.77.91","CC=US ASN=AS63949 Linode, LLC"
